state,date,abs,rate
Johor,2000-01-01,419,6.2
Johor,2001-01-01,471,7.7
Johor,2002-01-01,425,7.1
Johor,2003-01-01,411,7.1
Johor,2004-01-01,389,6.8
Johor,2005-01-01,411,7.3
Johor,2006-01-01,370,6.5
Johor,2007-01-01,355,6.1
Johor,2008-01-01,401,6.9
Johor,2009-01-01,387,6.7
Johor,2010-01-01,396,7.1
Johor,2011-01-01,374,6.4
Johor,2012-01-01,424,7.0
Johor,2013-01-01,364,6.3
Johor,2014-01-01,368,6.1
Johor,2015-01-01,440,7.3
Johor,2016-01-01,443,7.4
Johor,2017-01-01,413,6.8
Johor,2018-01-01,422,6.9
Johor,2019-01-01,386,6.4
Johor,2020-01-01,354,6.2
Johor,2021-01-01,343,6.9
Johor,2022-01-01,323,6.7
Kedah,2000-01-01,240,5.9
Kedah,2001-01-01,322,8.5
Kedah,2002-01-01,266,7.3
Kedah,2003-01-01,273,7.7
Kedah,2004-01-01,258,7.4
Kedah,2005-01-01,270,7.9
Kedah,2006-01-01,231,6.8
Kedah,2007-01-01,262,7.7
Kedah,2008-01-01,286,8.1
Kedah,2009-01-01,280,7.8
Kedah,2010-01-01,274,7.8
Kedah,2011-01-01,237,6.6
Kedah,2012-01-01,262,7.2
Kedah,2013-01-01,233,6.7
Kedah,2014-01-01,230,6.3
Kedah,2015-01-01,241,6.6
Kedah,2016-01-01,254,7.1
Kedah,2017-01-01,215,5.9
Kedah,2018-01-01,229,6.4
Kedah,2019-01-01,222,6.4
Kedah,2020-01-01,173,5.1
Kedah,2021-01-01,203,6.1
Kedah,2022-01-01,193,6.3
Kelantan,2000-01-01,407,10.1
Kelantan,2001-01-01,334,8.7
Kelantan,2002-01-01,319,8.6
Kelantan,2003-01-01,329,9.2
Kelantan,2004-01-01,278,7.9
Kelantan,2005-01-01,304,8.9
Kelantan,2006-01-01,255,7.6
Kelantan,2007-01-01,278,8.2
Kelantan,2008-01-01,274,7.9
Kelantan,2009-01-01,340,9.5
Kelantan,2010-01-01,301,8.4
Kelantan,2011-01-01,291,7.7
Kelantan,2012-01-01,299,8.1
Kelantan,2013-01-01,269,7.4
Kelantan,2014-01-01,319,8.1
Kelantan,2015-01-01,261,6.7
Kelantan,2016-01-01,298,7.7
Kelantan,2017-01-01,302,7.7
Kelantan,2018-01-01,288,7.5
Kelantan,2019-01-01,271,7.4
Kelantan,2020-01-01,215,5.9
Kelantan,2021-01-01,249,7.2
Kelantan,2022-01-01,264,7.8
Melaka,2000-01-01,120,7.8
Melaka,2001-01-01,107,7.5
Melaka,2002-01-01,128,9.3
Melaka,2003-01-01,113,8.1
Melaka,2004-01-01,121,8.9
Melaka,2005-01-01,112,8.4
Melaka,2006-01-01,104,8.0
Melaka,2007-01-01,105,7.8
Melaka,2008-01-01,112,8.2
Melaka,2009-01-01,120,8.9
Melaka,2010-01-01,105,8.1
Melaka,2011-01-01,120,8.6
Melaka,2012-01-01,105,7.4
Melaka,2013-01-01,90,6.6
Melaka,2014-01-01,84,5.8
Melaka,2015-01-01,80,5.5
Melaka,2016-01-01,100,6.9
Melaka,2017-01-01,95,6.6
Melaka,2018-01-01,110,7.6
Melaka,2019-01-01,91,6.4
Melaka,2020-01-01,89,6.4
Melaka,2021-01-01,94,7.1
Melaka,2022-01-01,88,6.7
Pahang,2000-01-01,110,5.7
Pahang,2001-01-01,133,7.5
Pahang,2002-01-01,132,7.5
Pahang,2003-01-01,142,8.2
Pahang,2004-01-01,101,5.9
Pahang,2005-01-01,140,8.3
Pahang,2006-01-01,142,8.5
Pahang,2007-01-01,107,6.2
Pahang,2008-01-01,119,6.9
Pahang,2009-01-01,154,8.9
Pahang,2010-01-01,122,7.2
Pahang,2011-01-01,126,7.1
Pahang,2012-01-01,135,7.5
Pahang,2013-01-01,129,7.4
Pahang,2014-01-01,129,6.9
Pahang,2015-01-01,128,6.9
Pahang,2016-01-01,116,6.4
Pahang,2017-01-01,148,8.2
Pahang,2018-01-01,162,8.9
Pahang,2019-01-01,134,7.7
Pahang,2020-01-01,104,6.1
Pahang,2021-01-01,111,6.6
Pahang,2022-01-01,99,6.2
Negeri Sembilan,2000-01-01,256,8.7
Negeri Sembilan,2001-01-01,221,8.0
Negeri Sembilan,2002-01-01,247,9.2
Negeri Sembilan,2003-01-01,228,8.7
Negeri Sembilan,2004-01-01,247,9.5
Negeri Sembilan,2005-01-01,245,9.5
Negeri Sembilan,2006-01-01,217,8.7
Negeri Sembilan,2007-01-01,201,8.1
Negeri Sembilan,2008-01-01,197,7.7
Negeri Sembilan,2009-01-01,229,8.8
Negeri Sembilan,2010-01-01,197,7.6
Negeri Sembilan,2011-01-01,256,9.5
Negeri Sembilan,2012-01-01,219,8.0
Negeri Sembilan,2013-01-01,253,9.4
