state,date,abs,rate
Johor,2000-01-01,239,3.6
Johor,2001-01-01,281,4.6
Johor,2002-01-01,257,4.3
Johor,2003-01-01,247,4.2
Johor,2004-01-01,235,4.1
Johor,2005-01-01,237,4.2
Johor,2006-01-01,228,4.0
Johor,2007-01-01,223,3.9
Johor,2008-01-01,252,4.4
Johor,2009-01-01,235,4.1
Johor,2010-01-01,248,4.4
Johor,2011-01-01,228,3.9
Johor,2012-01-01,267,4.4
Johor,2013-01-01,235,4.1
Johor,2014-01-01,242,4.0
Johor,2015-01-01,285,4.7
Johor,2016-01-01,287,4.8
Johor,2017-01-01,274,4.5
Johor,2018-01-01,265,4.3
Johor,2019-01-01,238,3.9
Johor,2020-01-01,239,4.2
Johor,2021-01-01,221,4.4
Johor,2022-01-01,202,4.2
Kedah,2000-01-01,123,3.0
Kedah,2001-01-01,199,5.2
Kedah,2002-01-01,151,4.1
Kedah,2003-01-01,176,5.0
Kedah,2004-01-01,163,4.6
Kedah,2005-01-01,170,5.0
Kedah,2006-01-01,151,4.5
Kedah,2007-01-01,178,5.2
Kedah,2008-01-01,197,5.6
Kedah,2009-01-01,199,5.5
Kedah,2010-01-01,191,5.4
Kedah,2011-01-01,162,4.5
Kedah,2012-01-01,179,4.9
Kedah,2013-01-01,154,4.4
Kedah,2014-01-01,164,4.5
Kedah,2015-01-01,151,4.1
Kedah,2016-01-01,171,4.8
Kedah,2017-01-01,140,3.8
Kedah,2018-01-01,151,4.2
Kedah,2019-01-01,137,4.0
Kedah,2020-01-01,126,3.7
Kedah,2021-01-01,146,4.4
Kedah,2022-01-01,114,3.7
Kelantan,2000-01-01,183,4.5
Kelantan,2001-01-01,156,4.1
Kelantan,2002-01-01,128,3.4
Kelantan,2003-01-01,136,3.8
Kelantan,2004-01-01,116,3.3
Kelantan,2005-01-01,137,4.0
Kelantan,2006-01-01,125,3.7
Kelantan,2007-01-01,155,4.6
Kelantan,2008-01-01,171,4.9
Kelantan,2009-01-01,210,5.9
Kelantan,2010-01-01,193,5.4
Kelantan,2011-01-01,184,4.9
Kelantan,2012-01-01,192,5.2
Kelantan,2013-01-01,175,4.8
Kelantan,2014-01-01,216,5.5
Kelantan,2015-01-01,169,4.3
Kelantan,2016-01-01,193,5.0
Kelantan,2017-01-01,198,5.1
Kelantan,2018-01-01,195,5.1
Kelantan,2019-01-01,183,5.0
Kelantan,2020-01-01,145,4.0
Kelantan,2021-01-01,181,5.2
Kelantan,2022-01-01,168,5.0
Melaka,2000-01-01,87,5.7
Melaka,2001-01-01,79,5.5
Melaka,2002-01-01,79,5.7
Melaka,2003-01-01,70,5.0
Melaka,2004-01-01,72,5.3
Melaka,2005-01-01,75,5.6
Melaka,2006-01-01,69,5.3
Melaka,2007-01-01,65,4.8
Melaka,2008-01-01,77,5.7
Melaka,2009-01-01,75,5.6
Melaka,2010-01-01,68,5.2
Melaka,2011-01-01,80,5.7
