state,date,abs,rate
Johor,2000-01-01,193,2.9
Johor,2001-01-01,366,5.9
Johor,2002-01-01,378,6.3
Johor,2003-01-01,416,7.1
Johor,2004-01-01,362,6.3
Johor,2005-01-01,389,6.9
Johor,2006-01-01,397,7.0
Johor,2007-01-01,421,7.3
Johor,2008-01-01,394,6.8
Johor,2009-01-01,423,7.3
Johor,2010-01-01,402,7.1
Johor,2011-01-01,404,6.9
Johor,2012-01-01,429,7.1
Johor,2013-01-01,441,7.6
Johor,2014-01-01,414,6.8
Johor,2015-01-01,540,8.9
Johor,2016-01-01,543,9.1
Johor,2017-01-01,504,8.2
Johor,2018-01-01,576,9.4
Johor,2019-01-01,499,8.2
Johor,2020-01-01,456,8.0
Johor,2021-01-01,431,8.6
Johor,2022-01-01,382,7.9
Kedah,2000-01-01,188,4.6
Kedah,2001-01-01,373,9.7
Kedah,2002-01-01,342,9.3
Kedah,2003-01-01,362,10.2
Kedah,2004-01-01,331,9.4
Kedah,2005-01-01,355,10.3
Kedah,2006-01-01,315,9.2
Kedah,2007-01-01,324,9.5
Kedah,2008-01-01,343,9.6
Kedah,2009-01-01,353,9.7
Kedah,2010-01-01,333,9.4
Kedah,2011-01-01,321,8.9
Kedah,2012-01-01,323,8.8
Kedah,2013-01-01,295,8.4
Kedah,2014-01-01,315,8.6
Kedah,2015-01-01,296,8.0
Kedah,2016-01-01,294,8.1
Kedah,2017-01-01,301,8.2
Kedah,2018-01-01,283,7.9
Kedah,2019-01-01,293,8.4
Kedah,2020-01-01,252,7.4
Kedah,2021-01-01,256,7.7
Kedah,2022-01-01,237,7.7
Kelantan,2000-01-01,269,6.6
Kelantan,2001-01-01,285,7.4
Kelantan,2002-01-01,333,8.9
Kelantan,2003-01-01,365,10.1
Kelantan,2004-01-01,327,9.2
Kelantan,2005-01-01,310,9.0
Kelantan,2006-01-01,298,8.8
Kelantan,2007-01-01,338,9.9
Kelantan,2008-01-01,341,9.7
Kelantan,2009-01-01,368,10.2
Kelantan,2010-01-01,362,10.0
Kelantan,2011-01-01,377,9.9
Kelantan,2012-01-01,391,10.5
Kelantan,2013-01-01,335,9.1
Kelantan,2014-01-01,374,9.5
Kelantan,2015-01-01,321,8.2
Kelantan,2016-01-01,366,9.5
Kelantan,2017-01-01,363,9.2
Kelantan,2018-01-01,335,8.7
Kelantan,2019-01-01,344,9.3
Kelantan,2020-01-01,302,8.3
Kelantan,2021-01-01,331,9.5
Kelantan,2022-01-01,282,8.3
Melaka,2000-01-01,155,10.1
Melaka,2001-01-01,143,9.9
